Instance,Solver Type,Solutions To Find,Variable Ordering,Value Ordering,Solutions Found,Nodes Explored,Revisions Done,Time Taken
11Queens.csp,MAC,1,ASCENDING,ASCENDING,1,17,941,91
11Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,77,4217,540
12Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,18,1278,163
11Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,33,1791,356
13Queens.csp,MAC,1,ASCENDING,ASCENDING,1,39,2443,457
12Queens.csp,MAC,1,ASCENDING,ASCENDING,1,60,3759,636
11Queens.csp,FC,1,ASCENDING,ASCENDING,1,59,216,218
11Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,101,316,295
12Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,54,181,258
12Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,72,4086,562
12Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,52,3501,626
13Queens.csp,FC,1,ASCENDING,ASCENDING,1,145,525,594
13Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,89,5798,866
12Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,294,888,609
13Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,115,7938,612
11Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,299,836,684
11Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,69,4002,735
12Queens.csp,FC,1,ASCENDING,ASCENDING,1,326,1048,691
13Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,617,1739,906
12Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,346,971,911
11Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,411,1117,822
13Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,131,8346,1139
13Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,331,1076,1015
13Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,851,2503,1936
11Queens.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,2680,62410,1766954,16659
11Queens.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,2680,60638,1774077,17023
11Queens.csp,MAC,0,ASCENDING,ASCENDING,2680,68570,1988391,17833
11Queens.csp,MAC,0,ASCENDING,MIN_CONFLICTS,2680,66732,2000293,17856
11Queens.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,2680,167384,395654,18360
11Queens.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,2680,165904,392280,18703
11Queens.csp,FC,0,ASCENDING,MIN_CONFLICTS,2680,216786,547445,19897
11Queens.csp,FC,0,ASCENDING,ASCENDING,2680,228120,567030,21054
12Queens.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,14200,313580,9482646,49183
12Queens.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,14200,303952,9478753,49722
12Queens.csp,MAC,0,ASCENDING,ASCENDING,14200,348466,10844028,50990
12Queens.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,14200,809438,1954095,52504
12Queens.csp,MAC,0,ASCENDING,MIN_CONFLICTS,14200,338896,10913473,53144
12Queens.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,14200,798664,1929278,54199
12Queens.csp,FC,0,ASCENDING,ASCENDING,14200,1145464,2938054,59344
12Queens.csp,FC,0,ASCENDING,MIN_CONFLICTS,14200,1088132,2834905,59840
13Queens.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,73712,1634164,53706577,130632
13Queens.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,73712,1583212,53760642,132124
13Queens.csp,MAC,0,ASCENDING,ASCENDING,73712,1838678,62602040,140436
13Queens.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,73712,4184244,10306278,142413
13Queens.csp,MAC,0,ASCENDING,MIN_CONFLICTS,73712,1789108,62949026,143661
13Queens.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,73712,4149920,10226299,145971
13Queens.csp,FC,0,ASCENDING,ASCENDING,73712,6171402,16247936,166259
13Queens.csp,FC,0,ASCENDING,MIN_CONFLICTS,73712,5859300,15662935,170810
