Instance,Solver Type,Solutions To Find,Variable Ordering,Value Ordering,Solutions Found,Nodes Explored,Revisions Done,Time Taken
4Queens.csp,MAC,0,ASCENDING,MIN_CONFLICTS,2,18,80,31
4Queens.csp,MAC,0,ASCENDING,ASCENDING,2,18,80,19
5Queens.csp,MAC,0,ASCENDING,ASCENDING,10,92,386,96
5Queens.csp,MAC,0,ASCENDING,MIN_CONFLICTS,10,92,386,99
4Queens.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,2,18,80,20
4Queens.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,2,18,80,59
4Queens.csp,FC,0,ASCENDING,ASCENDING,2,30,37,11
4Queens.csp,FC,0,ASCENDING,MIN_CONFLICTS,2,28,35,19
4Queens.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,2,30,37,14
5Queens.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,10,90,368,106
5Queens.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,10,90,368,105
4Queens.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,2,28,35,2
6Queens.csp,MAC,0,ASCENDING,ASCENDING,4,76,976,155
5Queens.csp,FC,0,ASCENDING,ASCENDING,10,106,135,89
4Queens.csp,MAC,1,ASCENDING,ASCENDING,1,6,48,0
6Queens.csp,MAC,1,ASCENDING,ASCENDING,1,12,258,5
6Queens.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,4,76,976,140
4Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,6,48,12
5Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,5,66,13
5Queens.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,10,98,121,53
6Queens.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,4,78,1013,142
5Queens.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,10,102,128,23
5Queens.csp,MAC,1,ASCENDING,ASCENDING,1,5,66,25
5Queens.csp,FC,0,ASCENDING,MIN_CONFLICTS,10,106,135,91
4Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,6,48,3
6Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,12,258,19
6Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,18,345,10
6Queens.csp,MAC,0,ASCENDING,MIN_CONFLICTS,4,78,1013,250
6Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,18,345,81
5Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,5,66,63
10Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,10,518,93
6Queens.csp,FC,0,ASCENDING,ASCENDING,4,244,448,167
8Queens.csp,MAC,1,ASCENDING,ASCENDING,1,28,1000,98
5Queens.csp,FC,1,ASCENDING,ASCENDING,1,5,10,51
4Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,6,48,51
4Queens.csp,FC,1,ASCENDING,ASCENDING,1,12,18,50
6Queens.csp,FC,1,ASCENDING,ASCENDING,1,46,96,26
5Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,5,66,56
6Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,46,96,14
10Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,10,45,25
8Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,28,1000,91
4Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,10,16,7
4Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,12,18,19
8Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,70,172,11
6Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,66,135,21
6Queens.csp,FC,0,ASCENDING,MIN_CONFLICTS,4,236,441,168
8Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,18,594,116
10Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,22,929,119
10Queens.csp,MAC,1,ASCENDING,ASCENDING,1,36,1507,86
4Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,10,16,51
5Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,5,10,49
8Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,62,145,9
8Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,136,324,43
6Queens.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,4,228,421,183
6Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,64,131,25
10Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,60,183,18
10Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,10,45,49
8Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,18,594,102
8Queens.csp,FC,1,ASCENDING,ASCENDING,1,152,366,65
10Queens.csp,FC,1,ASCENDING,ASCENDING,1,150,415,67
10Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,10,536,96
5Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,5,10,17
6Queens.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,4,228,421,139
5Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,5,10,53
8Queens.csp,FC,0,ASCENDING,MIN_CONFLICTS,92,3004,6135,822
8Queens.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,92,2614,5159,833
8Queens.csp,MAC,0,ASCENDING,ASCENDING,92,1374,19603,996
8Queens.csp,MAC,0,ASCENDING,MIN_CONFLICTS,92,1352,19669,1001
8Queens.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,92,2614,5135,879
8Queens.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,92,1288,19119,976
8Queens.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,92,1332,19030,1045
8Queens.csp,FC,0,ASCENDING,ASCENDING,92,3134,6315,1019
10Queens.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,724,14810,365505,2166
10Queens.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,724,15250,364256,2198
10Queens.csp,MAC,0,ASCENDING,MIN_CONFLICTS,724,16058,401467,2256
10Queens.csp,MAC,0,ASCENDING,ASCENDING,724,16454,399132,2282
10Queens.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,724,38658,87719,2293
10Queens.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,724,38358,86865,2354
