Instance,Solver Type,Solutions To Find,Variable Ordering,Value Ordering,Solutions Found,Nodes Explored,Revisions Done,Time Taken
langfords2_3.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,6,92,25
langfords2_3.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,6,104,22
langfords2_3.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,6,104,8
langfords2_3.csp,MAC,1,ASCENDING,ASCENDING,1,8,123,32
langfords2_4.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,8,276,44
langfords2_4.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,8,276,56
langfords2_4.csp,FC,1,ASCENDING,ASCENDING,1,56,142,54
langfords2_4.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,10,319,144
langfords2_4.csp,MAC,1,ASCENDING,ASCENDING,1,12,344,139
langfords2_3.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,18,41,35
langfords2_3.csp,FC,1,ASCENDING,ASCENDING,1,18,41,38
langfords2_3.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,16,37,49
langfords2_4.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,56,141,53
langfords2_4.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,52,132,44
langfords2_3.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,16,37,69
langfords2_4.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,52,131,106
langfords2_7.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,16,1594,129
langfords2_7.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,16,1664,181
langfords2_7.csp,MAC,1,ASCENDING,ASCENDING,1,38,3416,408
langfords2_8.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,90,7486,470
langfords2_7.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,70,5075,743
langfords2_7.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,480,1529,706
langfords2_7.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,434,1405,782
langfords2_7.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,434,1383,879
langfords2_7.csp,FC,1,ASCENDING,ASCENDING,1,472,1531,670
langfords2_8.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,88,7370,438
langfords2_8.csp,MAC,1,ASCENDING,ASCENDING,1,176,16045,683
langfords2_11.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,34,7173,146
langfords2_8.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,172,15946,1084
langfords2_11.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,54,11334,820
langfords2_8.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,2216,7063,1476
langfords2_8.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,1958,6376,1279
langfords2_12.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,42,10737,707
langfords3_9.csp,MAC,1,ASCENDING,ASCENDING,1,93,23646,678
langfords2_12.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,202,33174,804
langfords2_12.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,296,39739,800
langfords2_8.csp,FC,1,ASCENDING,ASCENDING,1,2224,7302,1440
langfords2_8.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,1958,6278,1451
langfords3_9.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,69,16479,672
langfords3_10.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,370,94880,1197
langfords3_10.csp,MAC,1,ASCENDING,ASCENDING,1,276,80363,1130
langfords3_9.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,689,197103,1616
langfords2_11.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,2500,313622,2153
langfords2_11.csp,MAC,1,ASCENDING,ASCENDING,1,2570,309569,2125
langfords2_12.csp,MAC,1,ASCENDING,ASCENDING,1,2890,392092,2306
langfords3_9.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,813,224796,2072
langfords3_9.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,4021,23670,3501
langfords3_9.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,4003,23639,3596
langfords3_9.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,5405,32379,4306
langfords3_10.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,2960,856730,4403
langfords3_9.csp,FC,1,ASCENDING,ASCENDING,1,7045,41709,4857
langfords3_10.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,2974,870519,5008
langfords2_11.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,33270,120785,7104
langfords2_11.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,38168,137905,7360
langfords2_11.csp,FC,1,ASCENDING,ASCENDING,1,39264,146739,7396
langfords2_11.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,33270,122605,7812
langfords2_12.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,43580,165709,8538
langfords2_12.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,49498,187987,8752
langfords2_12.csp,FC,1,ASCENDING,ASCENDING,1,49842,194898,9466
langfords2_12.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,43580,168034,9439
langfords3_10.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,16024,103366,9990
langfords3_10.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,16236,104897,11128
langfords3_10.csp,FC,1,ASCENDING,ASCENDING,1,30204,197318,12924
langfords3_10.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,22386,147836,13425
4Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,6,48,7
4Queens.csp,MAC,1,ASCENDING,ASCENDING,1,6,48,2
5Queens.csp,MAC,1,ASCENDING,ASCENDING,1,5,66,2
5Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,5,66,11
