Instance,Solver Type,Solutions To Find,Variable Ordering,Value Ordering,Solutions Found,Nodes Explored,Revisions Done,Time Taken
langfords2_3.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,6,104,25
langfords2_3.csp,MAC,1,ASCENDING,ASCENDING,1,8,123,19
langfords2_4.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,8,276,29
langfords2_3.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,6,92,35
langfords2_3.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,6,104,25
langfords2_3.csp,FC,1,ASCENDING,ASCENDING,1,18,41,16
langfords2_4.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,10,319,37
langfords2_4.csp,MAC,1,ASCENDING,ASCENDING,1,12,344,41
langfords2_3.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,18,41,7
langfords2_3.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,16,37,43
langfords2_4.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,8,276,71
langfords2_3.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,16,37,19
langfords2_4.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,52,132,84
langfords2_4.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,56,141,39
langfords2_4.csp,FC,1,ASCENDING,ASCENDING,1,56,142,80
langfords2_4.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,52,131,72
langfords3_9.csp,MAC,1,ASCENDING,ASCENDING,1,93,23646,1187
langfords3_9.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,69,16479,1215
langfords3_10.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,370,94880,1717
langfords3_10.csp,MAC,1,ASCENDING,ASCENDING,1,276,80363,1726
langfords3_9.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,813,224796,2369
langfords3_9.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,689,197103,2620
langfords3_9.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,4003,23639,4074
langfords3_9.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,4021,23670,4109
langfords3_9.csp,FC,1,ASCENDING,ASCENDING,1,7045,41709,4923
langfords3_9.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,5405,32379,5017
langfords3_10.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,2960,856730,4830
langfords3_10.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,2974,870519,4995
langfords3_10.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,16024,103366,9641
langfords3_10.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,16236,104897,11196
langfords3_10.csp,FC,1,ASCENDING,ASCENDING,1,30204,197318,14434
langfords3_10.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,22386,147836,14516
