Instance,Solver Type,Solutions To Find,Variable Ordering,Value Ordering,Solutions Found,Nodes Explored,Revisions Done,Time Taken
langfords3_9.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,6,4162,1089462,5075
langfords3_9.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,6,3996,1082421,5749
langfords3_9.csp,MAC,0,ASCENDING,MIN_CONFLICTS,6,18758,4100997,18614
langfords3_9.csp,MAC,0,ASCENDING,ASCENDING,6,18968,4100997,19615
langfords3_10.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,10,16080,4508606,19964
langfords3_10.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,10,15790,4493639,20625
langfords3_10.csp,MAC,0,ASCENDING,ASCENDING,10,90058,23030822,80840
langfords3_10.csp,MAC,0,ASCENDING,MIN_CONFLICTS,10,89454,23030822,85230
langfords3_9.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,6,551606,3497154,259528
langfords3_9.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,6,558822,3556320,282094
langfords3_9.csp,FC,0,ASCENDING,ASCENDING,6,1107350,7113836,363780
langfords3_9.csp,FC,0,ASCENDING,MIN_CONFLICTS,6,773854,5020994,394226
langfords3_10.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,10,3242478,21976755,1420400
langfords3_10.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,10,3307320,22474278,1615923
langfords3_10.csp,FC,0,ASCENDING,MIN_CONFLICTS,10,4617300,31994768,2277070
langfords3_10.csp,FC,0,ASCENDING,ASCENDING,10,6823174,46865603,2303079
