Instance,Solver Type,Solutions To Find,Variable Ordering,Value Ordering,Solutions Found,Nodes Explored,Revisions Done,Time Taken
langfords2_8.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,88,7370,1356
langfords2_8.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,90,7486,1195
langfords3_6.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,0,92,15224,1879
langfords3_6.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,0,92,15224,1592
langfords2_8.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,172,15946,2041
langfords2_8.csp,MAC,1,ASCENDING,ASCENDING,1,176,16045,2025
langfords3_6.csp,MAC,1,ASCENDING,ASCENDING,0,216,32568,1827
langfords3_7.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,0,296,61878,1927
langfords3_6.csp,MAC,1,ASCENDING,MIN_CONFLICTS,0,216,32568,2123
langfords3_7.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,0,294,61620,2130
langfords2_8.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,2216,7063,2623
langfords2_8.csp,FC,1,ASCENDING,ASCENDING,1,2224,7302,2693
langfords2_8.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,1958,6376,2521
langfords2_8.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,1958,6278,2382
langfords3_7.csp,MAC,1,ASCENDING,MIN_CONFLICTS,0,1086,157393,2646
langfords3_7.csp,MAC,1,ASCENDING,ASCENDING,0,1098,157393,2803
langfords3_6.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,0,3970,19758,4037
langfords3_6.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,0,4076,20288,4014
langfords3_6.csp,FC,1,ASCENDING,ASCENDING,0,7046,35304,4910
langfords3_6.csp,FC,1,ASCENDING,MIN_CONFLICTS,0,5460,27558,5122
langfords2_9.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,0,32476,2909346,10784
langfords2_9.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,0,31792,2912569,10998
langfords3_7.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,0,19292,105388,12247
langfords3_7.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,0,19720,107894,12857
langfords3_7.csp,FC,1,ASCENDING,MIN_CONFLICTS,0,26526,147516,16753
langfords3_7.csp,FC,1,ASCENDING,ASCENDING,0,35218,194844,17359
langfords2_9.csp,MAC,1,ASCENDING,ASCENDING,0,63782,6083381,18730
langfords2_9.csp,MAC,1,ASCENDING,MIN_CONFLICTS,0,63050,6083381,19463
langfords2_10.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,0,182222,18356370,36346
langfords2_10.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,0,178452,18366495,36421
langfords2_9.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,0,728820,2519261,71769
langfords2_9.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,0,619916,2173995,73216
langfords2_10.csp,MAC,1,ASCENDING,ASCENDING,0,418942,45389386,76849
langfords2_10.csp,MAC,1,ASCENDING,MIN_CONFLICTS,0,413284,45389386,78214
langfords2_9.csp,FC,1,ASCENDING,MIN_CONFLICTS,0,619916,2205808,78957
langfords2_9.csp,FC,1,ASCENDING,ASCENDING,0,832188,3017070,81549
langfords2_10.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,0,5187394,18815440,384231
langfords2_10.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,0,4399448,16174245,395805
langfords2_10.csp,FC,1,ASCENDING,MIN_CONFLICTS,0,4399448,16405946,423652
langfords2_10.csp,FC,1,ASCENDING,ASCENDING,0,6042216,23010818,441641
