Instance,Solver Type,Solutions To Find,Variable Ordering,Value Ordering,Solutions Found,Nodes Explored,Revisions Done,Time Taken
langfords2_3.csp,MAC,1,ASCENDING,ASCENDING,1,8,123,25
langfords2_3.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,6,104,21
langfords2_3.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,6,104,23
langfords2_3.csp,FC,1,ASCENDING,ASCENDING,1,18,41,43
langfords2_3.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,6,92,32
langfords2_4.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,8,276,84
langfords2_4.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,8,276,87
langfords2_3.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,18,41,30
langfords2_3.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,16,37,54
langfords2_4.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,10,319,141
langfords2_4.csp,MAC,1,ASCENDING,ASCENDING,1,12,344,169
langfords2_4.csp,FC,1,ASCENDING,ASCENDING,1,56,142,117
langfords2_3.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,16,37,18
langfords2_4.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,56,141,95
langfords2_4.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,52,132,119
langfords2_4.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,52,131,72
langfords2_7.csp,MAC,1,ASCENDING,ASCENDING,1,38,3416,187
langfords2_7.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,16,1594,109
langfords2_7.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,16,1664,174
langfords2_7.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,70,5075,306
langfords2_7.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,480,1529,501
langfords2_7.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,434,1383,597
langfords2_7.csp,FC,1,ASCENDING,ASCENDING,1,472,1531,556
langfords2_7.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,434,1405,521
langfords2_11.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,34,7173,193
langfords2_11.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,54,11334,482
langfords2_12.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,42,10737,482
langfords2_12.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,202,33174,822
langfords2_12.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,296,39739,921
langfords2_11.csp,MAC,1,ASCENDING,ASCENDING,1,2570,309569,1679
langfords2_11.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,2500,313622,1766
langfords2_12.csp,MAC,1,ASCENDING,ASCENDING,1,2890,392092,2030
langfords2_11.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,33270,120785,5614
langfords2_11.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,38168,137905,5716
langfords2_11.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,33270,122605,6107
langfords2_11.csp,FC,1,ASCENDING,ASCENDING,1,39264,146739,6111
langfords2_12.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,49498,187987,7412
langfords2_12.csp,FC,1,ASCENDING,ASCENDING,1,49842,194898,7674
langfords2_12.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,43580,168034,8495
langfords2_12.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,43580,165709,8588
