Instance,Solver Type,Solutions To Find,Variable Ordering,Value Ordering,Solutions Found,Nodes Explored,Revisions Done,Time Taken
langfords2_3.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,2,24,158,33
langfords2_3.csp,MAC,0,ASCENDING,ASCENDING,2,26,193,41
langfords2_3.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,2,24,158,28
langfords2_3.csp,MAC,0,ASCENDING,MIN_CONFLICTS,2,28,193,35
langfords2_3.csp,FC,0,ASCENDING,ASCENDING,2,48,92,75
langfords2_3.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,2,50,92,44
langfords2_4.csp,MAC,0,ASCENDING,ASCENDING,2,48,908,71
langfords2_3.csp,FC,0,ASCENDING,MIN_CONFLICTS,2,44,84,66
langfords2_3.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,2,44,83,39
langfords2_4.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,2,40,806,80
langfords2_4.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,2,40,806,88
langfords2_4.csp,MAC,0,ASCENDING,MIN_CONFLICTS,2,46,908,104
langfords2_4.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,2,194,439,81
langfords2_4.csp,FC,0,ASCENDING,ASCENDING,2,198,470,113
langfords2_4.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,2,168,391,71
langfords2_4.csp,FC,0,ASCENDING,MIN_CONFLICTS,2,168,398,96
