Instance,Solver Type,Solutions To Find,Variable Ordering,Value Ordering,Solutions Found,Nodes Explored,Revisions Done,Time Taken
5Queens.csp,MAC,1,ASCENDING,ASCENDING,1,5,66,8
4Queens.csp,MAC,1,ASCENDING,ASCENDING,1,6,48,13
6Queens.csp,MAC,1,ASCENDING,ASCENDING,1,12,258,55
8Queens.csp,MAC,1,ASCENDING,ASCENDING,1,28,1000,93
5Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,5,66,7
4Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,6,48,5
6Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,18,345,35
8Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,18,594,56
4Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,6,48,11
10Queens.csp,MAC,1,ASCENDING,ASCENDING,1,36,1507,175
11Queens.csp,MAC,1,ASCENDING,ASCENDING,1,17,941,122
10Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,10,518,130
5Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,5,66,19
6Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,12,258,24
8Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,28,1000,101
5Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,5,66,1
10Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,22,929,271
4Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,6,48,4
5Queens.csp,FC,1,ASCENDING,ASCENDING,1,5,10,12
4Queens.csp,FC,1,ASCENDING,ASCENDING,1,12,18,0
6Queens.csp,FC,1,ASCENDING,ASCENDING,1,46,96,45
6Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,18,345,36
12Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,52,3501,366
4Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,10,16,0
10Queens.csp,FC,1,ASCENDING,ASCENDING,1,150,415,38
5Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,5,10,4
6Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,66,135,18
8Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,18,594,212
8Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,70,172,36
11Queens.csp,FC,1,ASCENDING,ASCENDING,1,59,216,83
8Queens.csp,FC,1,ASCENDING,ASCENDING,1,152,366,184
12Queens.csp,MAC,1,ASCENDING,ASCENDING,1,60,3759,570
5Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,5,10,0
4Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,12,18,0
6Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,46,96,24
14Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,50,3830,625
10Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,10,536,218
5Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,5,10,4
4Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,10,16,1
11Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,33,1791,600
10Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,10,45,267
6Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,64,131,91
12Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,18,1278,581
10Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,60,183,335
8Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,62,145,235
10Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,10,45,284
8Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,136,324,252
11Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,101,316,524
11Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,77,4217,1097
13Queens.csp,MAC,1,ASCENDING,ASCENDING,1,39,2443,1140
12Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,72,4086,1086
14Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,50,4252,1295
11Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,69,4002,1469
12Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,54,181,884
14Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,84,251,1135
13Queens.csp,FC,1,ASCENDING,ASCENDING,1,145,525,1523
11Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,411,1117,1599
12Queens.csp,FC,1,ASCENDING,ASCENDING,1,326,1048,1635
15Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,17,1873,2006
15Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,15,105,1550
16Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,24,2666,2001
12Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,294,888,1625
15Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,73,296,1478
15Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,53,204,1625
15Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,23,2160,2223
16Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,62,272,1454
13Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,331,1076,1635
14Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,28,2120,2198
11Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,299,836,1590
12Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,346,971,1858
14Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,188,724,1625
15Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,17,1778,1960
17Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,109,418,1572
18Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,114,455,1566
13Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,89,5798,2144
14Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,264,871,2015
13Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,131,8346,2492
17Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,27,3884,2267
13Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,617,1739,1875
13Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,115,7938,2290
18Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,108,393,1835
17Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,329,1104,2005
13Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,851,2503,2197
16Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,680,2008,1974
18Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,224,783,2008
18Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,46,5816,2347
