Instance,Solver Type,Solutions To Find,Variable Ordering,Value Ordering,Solutions Found,Nodes Explored,Revisions Done,Time Taken
11Queens.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,2680,60638,1774077,15582
11Queens.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,2680,62410,1766954,15896
11Queens.csp,MAC,0,ASCENDING,ASCENDING,2680,68570,1988391,16545
11Queens.csp,MAC,0,ASCENDING,MIN_CONFLICTS,2680,66732,2000293,17023
11Queens.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,2680,165904,392280,19133
11Queens.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,2680,167384,395654,19200
11Queens.csp,FC,0,ASCENDING,MIN_CONFLICTS,2680,216786,547445,21555
11Queens.csp,FC,0,ASCENDING,ASCENDING,2680,228120,567030,21885
12Queens.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,14200,313580,9482646,47586
12Queens.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,14200,303952,9478753,48808
12Queens.csp,MAC,0,ASCENDING,ASCENDING,14200,348466,10844028,51493
12Queens.csp,MAC,0,ASCENDING,MIN_CONFLICTS,14200,338896,10913473,52784
12Queens.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,14200,809438,1954095,56882
12Queens.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,14200,798664,1929278,58233
12Queens.csp,FC,0,ASCENDING,ASCENDING,14200,1145464,2938054,66065
12Queens.csp,FC,0,ASCENDING,MIN_CONFLICTS,14200,1088132,2834905,66480
13Queens.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,73712,1634164,53706577,131291
13Queens.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,73712,1583212,53760642,135011
13Queens.csp,MAC,0,ASCENDING,ASCENDING,73712,1838678,62602040,142065
13Queens.csp,MAC,0,ASCENDING,MIN_CONFLICTS,73712,1789108,62949026,144102
13Queens.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,73712,4184244,10306278,156832
13Queens.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,73712,4149920,10226299,159586
13Queens.csp,FC,0,ASCENDING,ASCENDING,73712,6171402,16247936,184248
13Queens.csp,FC,0,ASCENDING,MIN_CONFLICTS,73712,5859300,15662935,189511
