Instance,Solver Type,Solutions To Find,Variable Ordering,Value Ordering,Solutions Found,Nodes Explored,Revisions Done,Time Taken
4Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,0,9,12,4
4Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,6,48,17
5Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,10,20,6
5Queens.csp,MAC,1,ASCENDING,ASCENDING,1,5,66,3
6Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,0,12,30,18
4Queens.csp,MAC,1,ASCENDING,ASCENDING,1,6,48,2
5Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,5,66,17
5Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,10,20,17
4Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,0,9,12,2
6Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,0,12,30,26
5Queens.csp,FC,1,ASCENDING,ASCENDING,1,5,10,2
6Queens.csp,MAC,1,ASCENDING,ASCENDING,1,12,258,51
5Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,10,0,1
6Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,12,258,64
4Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,0,9,0,0
4Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,0,9,0,0
6Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,0,12,0,2
8Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,0,21,56,22
5Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,5,10,1
4Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,12,18,4
8Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,0,21,56,48
4Queens.csp,FC,1,ASCENDING,ASCENDING,1,12,18,4
6Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,46,96,18
6Queens.csp,FC,1,ASCENDING,ASCENDING,1,46,96,27
6Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,0,12,0,4
5Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,10,0,11
8Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,28,1000,77
8Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,0,21,0,22
10Queens.csp,MAC,1,ASCENDING,MIN_CONFLICTS,1,20,90,25
8Queens.csp,MAC,1,ASCENDING,ASCENDING,1,28,1000,113
8Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,0,21,0,15
10Queens.csp,FC,1,ASCENDING,MIN_CONFLICTS,1,20,0,24
8Queens.csp,FC,1,ASCENDING,ASCENDING,1,152,366,70
10Queens.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,20,0,19
10Queens.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,22,929,90
10Queens.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,20,90,53
10Queens.csp,MAC,1,ASCENDING,ASCENDING,1,36,1507,104
10Queens.csp,FC,1,ASCENDING,ASCENDING,1,150,415,76
8Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,136,324,52
10Queens.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,60,183,52
