Instance,Solver Type,Solutions To Find,Variable Ordering,Value Ordering,Solutions Found,Nodes Explored,Revisions Done,Time Taken
4Queens.csp,MAC,0,ASCENDING,ASCENDING,2,18,80,10
4Queens.csp,MAC,0,ASCENDING,MIN_CONFLICTS,2,18,80,13
5Queens.csp,MAC,0,ASCENDING,ASCENDING,10,92,386,31
5Queens.csp,MAC,0,ASCENDING,MIN_CONFLICTS,10,92,386,28
5Queens.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,10,90,368,17
4Queens.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,2,18,80,11
6Queens.csp,MAC,0,ASCENDING,MIN_CONFLICTS,4,78,1013,57
5Queens.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,10,90,368,23
6Queens.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,4,76,976,52
5Queens.csp,FC,0,ASCENDING,ASCENDING,10,106,135,25
4Queens.csp,FC,0,ASCENDING,ASCENDING,2,30,37,17
6Queens.csp,MAC,0,ASCENDING,ASCENDING,4,76,976,96
4Queens.csp,FC,0,ASCENDING,MIN_CONFLICTS,2,28,35,7
4Queens.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,2,18,80,22
4Queens.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,2,30,37,15
6Queens.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,4,78,1013,82
6Queens.csp,FC,0,ASCENDING,ASCENDING,4,244,448,48
5Queens.csp,FC,0,ASCENDING,MIN_CONFLICTS,10,106,135,22
4Queens.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,2,28,35,6
5Queens.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,10,102,128,44
6Queens.csp,FC,0,ASCENDING,MIN_CONFLICTS,4,236,441,96
5Queens.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,10,98,121,48
6Queens.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,4,228,421,114
6Queens.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,4,228,421,99
8Queens.csp,MAC,0,ASCENDING,MIN_CONFLICTS,92,1352,19669,1231
8Queens.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,92,1332,19030,1205
8Queens.csp,FC,0,ASCENDING,ASCENDING,92,3134,6315,1173
8Queens.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,92,2614,5135,1149
8Queens.csp,MAC,0,ASCENDING,ASCENDING,92,1374,19603,1313
8Queens.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,92,1288,19119,1280
8Queens.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,92,2614,5159,1234
8Queens.csp,FC,0,ASCENDING,MIN_CONFLICTS,92,3004,6135,1271
10Queens.csp,MAC,0,ASCENDING,MIN_CONFLICTS,724,16058,401467,2450
10Queens.csp,MAC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,724,14810,365505,2430
10Queens.csp,MAC,0,SMALLEST_DOMAIN,ASCENDING,724,15250,364256,2456
10Queens.csp,MAC,0,ASCENDING,ASCENDING,724,16454,399132,2516
10Queens.csp,FC,0,SMALLEST_DOMAIN,ASCENDING,724,38658,87719,2448
10Queens.csp,FC,0,SMALLEST_DOMAIN,MIN_CONFLICTS,724,38358,86865,2445
10Queens.csp,FC,0,ASCENDING,ASCENDING,724,50274,119049,2644
10Queens.csp,FC,0,ASCENDING,MIN_CONFLICTS,724,47940,115257,2609
