Instance,Solver Type,Solutions To Find,Variable Ordering,Value Ordering,Solutions Found,Nodes Explored,Revisions Done,Time Taken
186Sudoku.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,81,10126,738
186Sudoku.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,81,10126,713
198Sudoku.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,83,12253,744
186Sudoku.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,81,3240,754
186Sudoku.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,81,3240,727
198Sudoku.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,81,3240,697
198Sudoku.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,81,11969,762
489Sudoku.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,139,4664,796
198Sudoku.csp,FC,1,SMALLEST_DOMAIN,ASCENDING,1,113,3884,766
489Sudoku.csp,MAC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,87,14593,837
489Sudoku.csp,MAC,1,SMALLEST_DOMAIN,ASCENDING,1,105,16206,837
489Sudoku.csp,FC,1,SMALLEST_DOMAIN,MIN_CONFLICTS,1,219,5776,811
